"","n_clusters","n_obs_per_cluster","true_beta","beta_est_mean","min_beta_est","max_beta_est","beta_bias_mean","beta_est_var","power","ci_coverage","c1_c2_ratio"
"beta_est...1",10,19,1.5,1.48061812317576,0.309342782854518,2.91328836052633,-0.0193818768242377,0.287425183735425,0.76,0.92,2
"beta_est...2",15,12,1.5,1.5297221039768,-0.0621488865874518,2.8019852592111,0.0297221039768005,0.306874815809432,0.84,0.91,2
"beta_est...3",20,9,1.5,1.45321740129781,0.445581159716913,2.6820909873883,-0.04678259870219,0.144447821089691,0.92,0.97,2
"beta_est...4",25,7,1.5,1.50323196442715,0.823838997737631,2.64465996549021,0.00323196442715192,0.159820936222054,1,0.93,2
"beta_est...5",30,5,1.5,1.47405399564463,0.543176227339062,2.57560062875085,-0.0259460043553699,0.141768411048923,0.98,0.93,2
"beta_est...6",35,4,1.5,1.55465163138175,0.590534961758348,2.22848586965649,0.0546516313817463,0.131842710153261,0.99,0.93,2
"beta_est...7",40,4,1.5,1.48370377262053,0.821816854635122,2.24236066760343,-0.0162962273794704,0.077813615859212,1,0.97,2
"beta_est...8",45,3,1.5,1.52411314597644,0.860730787458377,2.24354337052837,0.0241131459764374,0.0686905637757454,1,0.95,2
"beta_est...9",50,3,1.5,1.5075770244989,0.867938790625819,2.08921977631879,0.00757702449890029,0.0769421969542244,1,0.96,2
"beta_est...10",10,46,1.5,1.5552853806097,0.0537680194158587,2.94368386430962,0.0552853806097027,0.437623820319828,0.78,0.85,5
"beta_est...11",15,29,1.5,1.51797794658285,0.414396271748922,3.05194790922524,0.0179779465828516,0.266748474846167,0.83,0.91,5
"beta_est...12",20,21,1.5,1.35135275338855,0.459852792494627,2.2790573948687,-0.148647246611454,0.17239109637138,0.86,0.91,5
"beta_est...13",25,16,1.5,1.55667043907407,0.325465392111333,2.99805874668925,0.0566704390740736,0.178369474652695,0.95,0.92,5
"beta_est...14",30,12,1.5,1.5202493234137,0.415925817766628,2.55585490048518,0.0202493234137003,0.165172805571337,0.97,0.89,5
"beta_est...15",35,10,1.5,1.48014709689421,0.308446962993536,2.43159814284808,-0.0198529031057912,0.123034312945575,0.98,0.92,5
"beta_est...16",40,8,1.5,1.5247648007838,0.745431082131756,2.33065300974238,0.0247648007837966,0.12131396597434,1,0.92,5
"beta_est...17",45,7,1.5,1.50041846242634,0.899959959821327,2.17459277553852,0.000418462426344446,0.0858812362328664,1,0.94,5
"beta_est...18",50,6,1.5,1.52038213644268,1.01946335097131,2.15465924324399,0.0203821364426848,0.081484381607926,1,0.97,5
"beta_est...19",10,91,1.5,1.5195014893625,-0.650345310719362,3.67222688439935,0.0195014893625003,0.41577171837568,0.74,0.89,10
"beta_est...20",15,57,1.5,1.57976009831773,0.468611638051764,3.04798476247572,0.0797600983177348,0.309803748236636,0.84,0.86,10
"beta_est...21",20,41,1.5,1.51835165235039,0.538748895195018,2.90260711911671,0.0183516523503854,0.202086759768254,0.93,0.94,10
"beta_est...22",25,31,1.5,1.5174300935725,0.647225251180892,2.57011589800599,0.0174300935724989,0.161499264241953,0.99,0.91,10
"beta_est...23",30,24,1.5,1.48702441590922,0.638889223478722,2.39562930095555,-0.0129755840907805,0.135919561877082,0.99,0.95,10
"beta_est...24",35,19,1.5,1.52139216292044,0.732941358051379,2.63882527810893,0.0213921629204434,0.125553741611786,1,0.92,10
"beta_est...25",40,16,1.5,1.56105110446503,1.02719051199626,2.26092517580007,0.0610511044650326,0.074490368192817,1,0.99,10
"beta_est...26",45,13,1.5,1.4920754310882,0.716501357080669,2.33811951776126,-0.00792456891180165,0.0722070298514301,1,0.96,10
"beta_est...27",50,11,1.5,1.52397317572635,0.837429927443736,2.25882138146795,0.0239731757263483,0.0871116475664619,1,0.89,10
"beta_est...28",10,181,1.5,1.4474756734562,-0.077052686851967,2.4417290508126,-0.0525243265438034,0.296098499966888,0.75,0.92,20
"beta_est...29",15,114,1.5,1.46808522493083,0.417818990144852,2.98464554976583,-0.0319147750691712,0.289842195866859,0.8,0.89,20
"beta_est...30",20,81,1.5,1.44099683738998,0.369550731156153,2.29553031982444,-0.059003162610023,0.192213583207713,0.91,0.94,20
"beta_est...31",25,61,1.5,1.52718729204642,0.517658668869756,2.83823653987334,0.0271872920464226,0.202034360193524,0.98,0.89,20
"beta_est...32",30,47,1.5,1.43740442819775,0.543189218316681,2.16317359102837,-0.0625955718022517,0.117507221678915,0.97,0.94,20
"beta_est...33",35,38,1.5,1.57326236691195,0.598386429486137,2.50874572868398,0.0732623669119464,0.120516083736925,0.99,0.93,20
"beta_est...34",40,31,1.5,1.4642018708058,0.854093687003716,2.24409950380948,-0.0357981291941972,0.109040739944775,1,0.92,20
"beta_est...35",45,25,1.5,1.4892444340136,0.803093310707699,2.27725353612071,-0.0107555659863974,0.0989822747844052,1,0.93,20
"beta_est...36",50,21,1.5,1.51632160920709,0.870888708466165,2.27842631405144,0.0163216092070884,0.0654100146690109,1,0.97,20
