"","X","beta","gamma2","sigma2","icc","c1","c1_c2_ratio","n_clusters","n_obs_per_cluster","avg_beta_est","avg_beta_bias","avg_mse","avg_ci_coverage","beta_est_var","power","type_I_error"
"1","beta_est...1",1.5,1,1,0.5,20,2,10,19,1.47551691692217,-0.0244830830778259,0.955131856825402,0.78,0.673942602346215,0.48,0
"2","beta_est...2",1.5,1,1,0.5,20,5,10,46,1.44595049392407,-0.054049506075926,0.982924159684992,0.88,0.399238524748873,0.42,0
"3","beta_est...3",1.5,1,1,0.5,20,10,10,91,1.45205532076766,-0.047944679232344,0.994310240185509,0.89,0.521643746510082,0.49,0
"4","beta_est...4",1.5,1,1,0.5,20,20,10,181,1.5198166698269,0.0198166698268981,0.998439642689785,0.95,0.374882785152128,0.56,0
"5","beta_est...5",1.5,1,1,0.5,20,2,15,12,1.53398894045794,0.0339889404579444,0.925146331674603,0.91,0.339204974247487,0.73,0
"6","beta_est...6",1.5,1,1,0.5,20,5,15,29,1.49810526547887,-0.00189473452113514,0.970743446687618,0.89,0.28446947842897,0.75,0
"7","beta_est...7",1.5,1,1,0.5,20,10,15,57,1.57743087724238,0.0774308772423834,0.981461755358907,0.93,0.284623971392931,0.81,0
"8","beta_est...8",1.5,1,1,0.5,20,20,15,114,1.43800384847121,-0.0619961515287938,0.990178483926999,0.96,0.267133272216613,0.67,0
"9","beta_est...9",1.5,1,1,0.5,20,2,20,9,1.52191155398741,0.0219115539874107,0.911549231627561,0.95,0.20265437444751,0.85,0
"10","beta_est...10",1.5,1,1,0.5,20,5,20,21,1.40316948484475,-0.0968305151552538,0.953829376855766,0.91,0.210111537234623,0.88,0
"11","beta_est...11",1.5,1,1,0.5,20,10,20,41,1.58795010332347,0.0879501033234671,0.980736536698646,0.92,0.224517158990795,0.88,0
"12","beta_est...12",1.5,1,1,0.5,20,20,20,81,1.56002335546256,0.0600233554625557,0.995742941986091,0.94,0.209504076159373,0.87,0
"13","beta_est...13",1.5,1,1,0.5,20,2,25,7,1.49906813847188,-0.000931861528123247,0.862763462533593,0.92,0.190766720996691,0.91,0
"14","beta_est...14",1.5,1,1,0.5,20,5,25,16,1.51583579872829,0.0158357987282931,0.945620221900812,0.95,0.174977215704566,0.91,0
"15","beta_est...15",1.5,1,1,0.5,20,10,25,31,1.50305362340975,0.00305362340974488,0.969639337171783,0.92,0.182376527870033,0.98,0
"16","beta_est...16",1.5,1,1,0.5,20,20,25,61,1.52843435023465,0.0284343502346499,0.985302240724749,0.91,0.170819063947478,0.97,0
"17","beta_est...17",1.5,1,1,0.5,20,2,30,5,1.53121952142206,0.031219521422065,0.841560666537448,0.93,0.18933351244432,0.95,0
"18","beta_est...18",1.5,1,1,0.5,20,5,30,12,1.53679090039751,0.0367909003975102,0.914720453136229,0.95,0.163476797038203,0.97,0
"19","beta_est...19",1.5,1,1,0.5,20,10,30,24,1.41390565350897,-0.0860943464910278,0.95083416227631,0.96,0.127438292712778,0.95,0
"20","beta_est...20",1.5,1,1,0.5,20,20,30,47,1.46045160026346,-0.0395483997365369,0.980284435939256,0.87,0.147429575731323,0.97,0
"21","beta_est...21",1.5,1,1,0.5,20,2,35,4,1.48873046573595,-0.0112695342640453,0.793753658380902,0.88,0.152154941412406,0.95,0
"22","beta_est...22",1.5,1,1,0.5,20,5,35,10,1.4440708266925,-0.0559291733075023,0.912529617845433,0.97,0.110675552915803,0.97,0
"23","beta_est...23",1.5,1,1,0.5,20,10,35,19,1.53259713952605,0.0325971395260511,0.944792330145511,0.91,0.142440730210037,0.97,0
"24","beta_est...24",1.5,1,1,0.5,20,20,35,38,1.55927903017311,0.0592790301731077,0.977511871332177,0.95,0.115438200645626,1,0
"25","beta_est...25",1.5,1,1,0.5,20,2,40,4,1.51814558513611,0.0181455851361094,0.801386581273261,0.91,0.155128965581065,0.98,0
"26","beta_est...26",1.5,1,1,0.5,20,5,40,8,1.51117495143893,0.011174951438928,0.886857828824373,0.94,0.122130277140595,0.99,0
"27","beta_est...27",1.5,1,1,0.5,20,10,40,16,1.4884771027708,-0.0115228972292,0.947628540329435,0.9,0.128207143518711,1,0
"28","beta_est...28",1.5,1,1,0.5,20,20,40,31,1.45528476256325,-0.0447152374367522,0.963789929116134,0.95,0.108037654883124,1,0
"29","beta_est...29",1.5,1,1,0.5,20,2,45,3,1.55931875024524,0.0593187502452411,0.749209026131847,0.95,0.111388854356443,0.99,0
"30","beta_est...30",1.5,1,1,0.5,20,5,45,7,1.47878941433785,-0.0212105856621537,0.881101580357526,0.96,0.0982059719776169,1,0
"31","beta_est...31",1.5,1,1,0.5,20,10,45,13,1.5709167748868,0.0709167748867951,0.930663807360839,0.94,0.107821761384912,1,0
"32","beta_est...32",1.5,1,1,0.5,20,20,45,25,1.49487510390064,-0.00512489609936367,0.959485478116278,0.93,0.108189328177564,1,0
"33","beta_est...33",1.5,1,1,0.5,20,2,50,3,1.46938888938634,-0.030611110613656,0.76023638530361,0.96,0.0971283786423635,0.99,0
"34","beta_est...34",1.5,1,1,0.5,20,5,50,6,1.47646605662199,-0.0235339433780062,0.872505714095307,0.98,0.0853842168718546,1,0
"35","beta_est...35",1.5,1,1,0.5,20,10,50,11,1.48531804367516,-0.014681956324842,0.912057890935044,0.93,0.101539986502363,1,0
"36","beta_est...36",1.5,1,1,0.5,20,20,50,21,1.51346051239946,0.0134605123994564,0.95942930840253,0.94,0.0692839542102169,1,0
